Designator,Mid X,Mid Y,Rotation,Layer
BUS1,157.06,-127.78,0.0,top
C1,123.44,-117.14,0.0,bottom
C10,130.6733,-78.7975,180.0,bottom
C11,147.835,-71.82,180.0,bottom
C12,155.3375,-71.91,180.0,bottom
C13,162.84,-71.82,180.0,bottom
C14,191.177432,-79.5782,180.0,bottom
C15,184.926466,-79.5782,180.0,bottom
C16,154.54,-111.11,270.0,bottom
C17,154.54,-115.59,90.0,bottom
C18,175.59,-111.02,270.0,bottom
C19,175.59,-115.55,270.0,bottom
C2,117.1119,-117.14,180.0,bottom
C20,137.3967,-78.7975,180.0,bottom
C21,140.3325,-71.86,180.0,bottom
C22,195.54,-108.16,270.0,top
C23,195.54,-114.25,270.0,top
C24,195.54,-86.21,270.0,top
C25,195.54,-92.33,270.0,top
C26,197.3834,-79.5782,180.0,bottom
C3,113.64,-79.43,0.0,bottom
C4,105.2,-79.53,0.0,bottom
C5,149.3,-104.33,180.0,bottom
C6,137.93,-97.47,90.0,bottom
C7,130.695,-97.47,90.0,bottom
C8,123.46,-97.47,90.0,bottom
C9,178.6755,-79.5782,180.0,bottom
J1,194.52,-72.23,270.0,top
J2,147.12,-62.8103,180.0,top
L1,123.81,-72.26,0.0,top
L2,129.65,-72.31,180.0,top
Q1,170.92,-79.7675,270.0,bottom
R1,117.348,-84.89,270.0,bottom
R10,143.59,-89.58,270.0,bottom
R11,178.9,-72.34,180.0,bottom
R12,123.97,-78.7975,180.0,bottom
R13,162.2,-88.37,270.0,bottom
R14,144.1,-78.7975,0.0,bottom
R15,150.7833,-78.7975,0.0,bottom
R16,157.4667,-78.7975,0.0,bottom
R17,191.7453,-86.8426,180.0,bottom
R18,186.92,-86.8426,180.0,bottom
R19,196.5706,-86.8426,0.0,bottom
R2,117.348,-73.0015,90.0,bottom
R3,117.348,-90.535,270.0,bottom
R4,117.348,-96.18,270.0,bottom
R5,117.348,-107.47,90.0,bottom
R6,117.348,-101.825,270.0,bottom
R7,145.02,-104.33,0.0,bottom
R8,164.15,-78.7975,0.0,bottom
R9,172.8075,-72.25,0.0,bottom
RV1,137.93,-87.37,0.0,bottom
RV2,130.695,-87.46,0.0,bottom
RV3,123.46,-87.46,0.0,bottom
U1,167.64,-113.284,90.0,bottom
U2,147.18,-113.344,90.0,bottom
U3,136.43,-91.82,90.0,top
U4,173.52,-105.12,270.0,top
U5,173.52,-84.48,270.0,top
U6,152.35,-91.22,180.0,bottom
X1,105.56,-92.1,0.0,top
Y1,111.88,-74.35,180.0,top
